town,flood,elevation_m,slope_deg,drainage_density
Abeka,1,51.91,89.98,0.145
Abelemkpe,1,26.9,89.95,0.268
Ablekuma,1,28.05,89.98,0.2593
Ablor Adjei,1,12.84,89.31,0.3539
Abokobi,1,84.98,89.98,0.0862
Abokobi Road area,1,26.9,89.95,0.2362
Abossey Okai,1,12.74,89.96,0.3323
Accra Central Business District,1,12.74,89.96,0.3646
Accra New Town,0,26.9,89.95,0.254
Accra–Kasoa Road,0,49.09,89.57,0.1583
Accra–Kasoa stretch,0,49.09,89.57,0.1308
Accra–Nsawam stretch,0,43.54,89.95,0.2188
Achimota,1,23.38,89.98,0.2633
Ada,0,8.82,87.93,0.3885
Ada Foah,0,8.82,87.93,0.3873
Adabraka,1,22.62,89.98,0.2373
Adenta,1,49.68,89.7,0.1422
Adjei Kojo,1,21.13,89.96,0.251
Afienya,1,52.8,89.29,0.1473
Afuaman,1,43.54,89.95,0.1916
Agbogba,0,23.38,89.98,0.2545
Agbogbloshie,1,12.74,89.96,0.3356
Airport (Kotoka area),0,26.9,89.95,0.2417
Airport Hills,0,57.28,89.97,0.0947
Airport Residential,0,57.28,89.97,0.0982
Akorli Down,0,80.17,89.97,0.1114
Akrade (border),0,26.9,89.95,0.238
Akweteyman,0,26.9,89.95,0.2506
Alajo,1,12.74,89.96,0.3537
Alajo (eastern sections),1,41.91,89.98,0.1819
Amasaman,0,43.54,89.95,0.2043
Amasaman (border),0,43.54,89.95,0.1868
Amasaman Road area,0,109.51,89.98,0.0326
Anyaa,1,45.61,87.51,0.168
Apenkwa,1,51.91,89.98,0.1686
Ashaiman (main town),0,29.38,89.95,0.2623
Ashaiman Underbridge,1,29.38,89.95,0.2422
Ashalaja,1,26.9,89.95,0.2339
Ashongman,0,84.98,89.98,0.1074
Asutuare (border),0,40.24,89.25,0.1976
Asylum Down,0,12.74,89.96,0.3349
Atico,1,22.62,89.98,0.2498
Atomic Madina,1,80.17,89.97,0.0814
Atomic Roundabout,1,80.17,89.97,0.1164
Avenor,1,51.91,89.98,0.1404
Awudome,0,12.74,89.96,0.3565
awoshie,1,26.9,89.95,0.2425
Ayawaso,0,41.91,89.98,0.2008
Ayi Mensa,0,80.17,89.97,0.1019
Azizakpe Island,0,8.82,87.93,0.3874
Baah Yard,1,19.41,89.97,0.3188
Baatsona,0,24.57,89.88,0.261
Baba Yara area,0,80.17,89.97,0.1176
Bansa,0,84.98,89.98,0.1158
Bel Aqua,1,21.13,89.96,0.2539
Berlin Bridge (Nima),1,51.91,89.98,0.1669
Big Ada,0,8.82,87.93,0.3835
Boi,0,28.05,89.98,0.2378
Borteyman,1,49.68,89.7,0.1318
Bukom,0,12.74,89.96,0.343
Burma Camp,1,32.18,89.73,0.1955
Cantonments,0,32.18,89.73,0.1909
Choice,0,12.84,89.31,0.3631
Chorkor,1,12.74,89.96,0.3443
Christian Village,1,23.38,89.98,0.2412
Christian Village drain,1,23.38,89.98,0.2517
Community 1 (Harbour/Industrial),0,15.21,89.11,0.2856
Community 10,0,15.21,89.11,0.3121
Community 11,0,15.21,89.11,0.283
Community 12,0,15.21,89.11,0.3195
Community 14,0,24.57,89.88,0.2609
Community 18,0,15.21,89.11,0.2879
Community 19,0,15.21,89.11,0.2802
Community 2,0,15.21,89.11,0.3126
Community 20,0,15.21,89.11,0.3083
Community 22,0,29.38,89.95,0.2592
Community 22 (shared border),0,29.38,89.95,0.2609
Community 25 (parts),0,15.21,89.11,0.283
Community 3,0,15.21,89.11,0.2943
Community 4,0,15.21,89.11,0.2846
Community 5,0,15.21,89.11,0.3145
Community 6,0,15.21,89.11,0.3049
Community 7,0,15.21,89.11,0.2932
Community 8,0,15.21,89.11,0.2825
Community 9,0,15.21,89.11,0.2924
D.K. Poison (Alajo),0,15.21,89.11,0.293
Dakyibi River catchment,0,51.91,89.98,0.1592
Dansoman,1,80.17,89.97,0.1055
Dansoman Junction,1,19.41,89.97,0.3155
Darkuman,1,19.41,89.97,0.2989
Darkuman Junction,1,12.74,89.96,0.3348
Dawhenya,1,12.74,89.96,0.3585
Dodowa,1,52.8,89.29,0.1604
Dome,0,40.24,89.25,0.2025
Dome (eastern parts),0,84.98,89.98,0.1108
Dome crossing,1,84.98,89.98,0.0998
Domeabra,0,23.38,89.98,0.2509
Doryumu,1,12.84,89.31,0.3471
Dzorwulu,0,40.24,89.25,0.181
East Cantonments,0,57.28,89.97,0.0843
East Legon,0,32.18,89.73,0.1813
Fiesta Royale area,1,57.28,89.97,0.1055
Fishing Harbour area,0,49.68,89.7,0.1426
Frafraha,0,15.21,89.11,0.3003
Ga Mashie,0,49.68,89.7,0.1663
GAEC Road area,1,26.9,89.95,0.24
Gbawe,1,23.38,89.98,0.2464
Glefe,1,31.4,74.91,0.2102
Graphic Road,0,19.41,89.97,0.2892
Graphic Road area,1,12.74,89.96,0.3331
Greda Estate,0,12.74,89.96,0.3416
Hajj Village,1,24.57,89.88,0.2364
Hatatso,1,26.9,89.91,0.2672
James Town,0,84.98,89.98,0.1123
Jelil Estate Junction,0,12.74,89.96,0.3553
Kanda,0,80.17,89.97,0.1149
Kaneshie,1,26.9,89.95,0.2621
Kaneshie (First Light),0,22.62,89.98,0.2375
Kanewu / Kanele,0,22.62,89.98,0.2657
Kasoa,0,21.13,89.96,0.2516
Kasoa (SCC side),1,49.09,89.57,0.1623
Kasoa Old Barrier,0,49.09,89.57,0.1658
Kasseh,0,49.09,89.57,0.1427
Kasseh Junction,0,18.33,83.88,0.2844
Katamanso,0,26.9,89.95,0.2391
Katamanso–Ashaiman stretch,1,52.8,89.29,0.1471
Klagon,0,26.9,89.95,0.2627
Kokomlemle,0,24.57,89.88,0.2644
Kokomlemle (parts),1,45.61,87.51,0.1303
Kokroko,0,45.61,87.51,0.1504
Korle Gonno,0,12.84,89.31,0.3467
Korle Lagoon area,0,12.74,89.96,0.3389
Kpone,0,12.74,89.96,0.3348
Kpone Industrial Area,0,52.8,89.29,0.1435
Kwabenya,0,52.8,89.29,0.1677
Kwabenya (parts),0,84.98,89.98,0.0929
Kwashieman,1,80.17,89.97,0.1008
La (Labadi),0,45.61,87.51,0.1581
Labone,0,32.18,89.73,0.1945
Lakeside,0,32.18,89.73,0.2189
Lakeside (Adenta),0,49.68,89.7,0.1685
Lapaz,0,49.68,89.7,0.1401
Lashibi,1,51.91,89.98,0.1499
Lebanon,1,24.57,89.88,0.242
Lebanon (shared),1,29.38,89.95,0.2414
Legon–GIMPA Bypass,0,29.38,89.95,0.2315
Lister area,0,57.28,89.97,0.1044
Lolonya,1,32.18,89.73,0.2001
Maamobi,1,8.82,87.93,0.3821
Madina,0,41.91,89.98,0.1911
Mallam,1,80.17,89.97,0.1163
Mallam Junction,1,19.41,89.97,0.2896
Mamobi,1,19.41,89.97,0.2858
Mamprobi,1,51.91,89.98,0.1496
Manet,1,12.74,89.96,0.3694
Manhean,1,32.18,89.73,0.1897
Mataheko,1,43.54,89.95,0.2069
Medie,1,19.41,89.97,0.3105
Medie (border),1,109.51,89.98,0.0395
Michel Camp area,0,109.51,89.98,0.0591
New Achimota,0,29.38,89.95,0.2447
New Ningo,1,23.38,89.98,0.2553
Nima,0,24.46,89.04,0.2553
Nima Downside,0,51.91,89.98,0.1514
North Larbone,1,51.91,89.98,0.1336
North Ridge,0,32.18,89.73,0.2134
Nungua,1,22.62,89.98,0.2428
Oblogo,1,24.57,89.88,0.2375
Odawna,1,31.4,74.91,0.1816
Odorkor,1,22.62,89.98,0.2536
Ofankor,1,12.74,89.96,0.3571
Ofankor Barrier,1,109.51,89.98,0.0307
Old Barrier,1,28.05,89.98,0.2505
Old Barrier (Weija-Gbawe),0,12.84,89.31,0.3391
Old Ningo,0,31.4,74.91,0.2058
Osu (parts),1,24.46,89.04,0.237
Osudoku,0,22.62,89.98,0.2576
Oyarifa,0,40.24,89.25,0.1955
Pantang,0,84.98,89.98,0.1175
Parakuo,1,23.38,89.98,0.2355
Community 25 (parts) dup,1,109.51,89.98,0.0436
Pokuase,0,26.9,89.95,0.2345
Pokuase (northern parts),0,28.05,89.98,0.267
Polo Grounds,1,109.51,89.98,0.0651
Polo Park (Alajo),0,26.9,89.91,0.2403
Prampram,1,51.91,89.98,0.1564
Prampram (border),0,24.46,89.04,0.2627
Ringway Estates,0,24.46,89.04,0.2522
Roman Ridge,0,22.62,89.98,0.2512
Russia (Dansoman),1,22.62,89.98,0.2397
Sahara (Dansoman),0,19.41,89.97,0.2837
Sakaman,1,19.41,89.97,0.3159
Sakumono (Community 13),1,19.41,89.97,0.316
SCC / Kasoa–SCC Highway,1,24.57,89.88,0.2553
Sege,1,49.09,89.57,0.1436
Shai Hills,1,18.33,83.88,0.294
Shai Hills border area,1,40.24,89.25,0.209
Shiashie (Ghana Standards Authority area),0,40.24,89.25,0.2159
South La,0,57.28,89.97,0.1155
South Ridge,0,32.18,89.73,0.2112
Sowutuom,0,22.62,89.98,0.2557
Spintex Road corridor,1,45.61,87.51,0.1334
SSNIT Flats,1,26.9,89.91,0.2365
SSNIT Flats (Sakumono),0,24.57,89.88,0.2659
Sukura,0,24.57,89.88,0.2543
Taifa,1,19.41,89.97,0.2804
Tema Beach Road area,0,84.98,89.98,0.0841
Tema Industrial Area (Light & Heavy),1,24.57,89.88,0.2565
Tema Motorway area,1,15.21,89.11,0.2802
Tema New Town,1,15.21,89.11,0.2864
Tema–Accra Beach Road,1,15.21,89.11,0.3019
Tesano,1,15.21,89.11,0.3077
Teshie,1,51.91,89.98,0.1561
Teshie Bush Road,1,26.9,89.91,0.239
Teshie Nungua Estates,1,26.9,89.91,0.2585
Tetegu,1,26.9,89.91,0.2395
Totope,0,12.84,89.31,0.343
Tse Addo,0,8.82,87.93,0.4099
Ussher Town,0,32.18,89.73,0.206
Weija,0,12.74,89.96,0.364
