community_slug,town,query,query_variant,query_rank,candidate_rank,candidate_name,latitude,longitude,country,country_code,admin1,admin2,timezone,population,geocoding_id,geocoding_source,auto_match_status,auto_match_reason,review_status
abeka,Abeka,Abeka,exact,1,1,Abeka,5.242060,-0.985770,Ghana,GH,Central Region,Ekumfi,Africa/Accra,,2306416,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
abeka,Abeka,Abeka,exact,1,2,Abaka,5.303050,-1.176980,Ghana,GH,Central Region,Abura/Asebu/Kwamankese,Africa/Accra,,2306460,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
abeka,Abeka,Abeka,exact,1,3,Abeka,5.596550,-0.244800,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2306415,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
abeka,Abeka,Abeka,exact,1,4,Kwami Chwika,5.366670,-0.983330,Ghana,GH,Central Region,Ajumako/Enyan/Essiam,Africa/Accra,,2298659,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
abelemkpe,Abelemkpe,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ablekuma,Ablekuma,Ablekuma,exact,1,1,Ablekuma,5.627840,-0.311160,Ghana,GH,Greater Accra Region,Ga West,Africa/Accra,,2306196,open-meteo,manual_review,Multiple distinct Ghana geocoding results matched the town name.,manual_review
ablekuma,Ablekuma,Ablekuma,exact,1,2,Ablekuma,5.633330,-0.100000,Ghana,GH,Greater Accra Region,Ledzekuku-Krowor,Africa/Accra,,2306359,open-meteo,manual_review,Multiple distinct Ghana geocoding results matched the town name.,manual_review
ablor-adjei,Ablor Adjei,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
abokobi,Abokobi,Abokobi,exact,1,1,Abokobi,5.734100,-0.206250,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,,2306267,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
abokobi-road-area,Abokobi Road area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
abossey-okai,Abossey Okai,Abossey Okai,exact,1,1,Abossey Okai,5.559860,-0.237150,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,7281067,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
accra-central-business-district,Accra Central Business District,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
accra-new-town,Accra New Town,Accra New Town,exact,1,1,Accra New Town,5.582250,-0.210400,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8541921,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
accra-kasoa-road,Accra–Kasoa Road,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
accra-kasoa-stretch,Accra–Kasoa stretch,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
accra-nsawam-stretch,Accra–Nsawam stretch,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
achimota,Achimota,Achimota,exact,1,1,Achimota,5.616670,-0.233330,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2306046,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
achimota,Achimota,Achimota,exact,1,2,Achimota Forest,5.618360,-0.215200,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8541922,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
ada,Ada,Ada,exact,1,1,Ada,7.250000,-1.833330,Ghana,GH,Ahafo,Tano South,Africa/Accra,,2306015,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
ada,Ada,Ada,exact,1,2,Ada,6.299900,0.867530,Ghana,GH,Volta Region,Akatsi District,Africa/Accra,,2306016,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
